code,name,barcode,unit,is_active,sale_price,ncm
106,CANELONE 4Q AZEIT PRETA,106,KG,0,31.9,19022000
107,CANELONE PIZZA,107,KG,0,31.9,19022000
108,CANELONE RICOTA,108,KG,0,31.9,19022000
109,CANELONE RIC NOZ UVAS PASSAS,109,KG,0,39.9,19022000
110,CANELONE RIC TOMATE SECO,110,KG,0,31.9,19022000
111,CANELONE RIC NOZES,111,KG,0,39.9,19022000
112,CANELONE ABOBORA CARNE SECA,112,KG,0,39.9,19022000
113,CANELONE RIC AZEIT PRETA,113,KG,0,31.9,19022000
114,CANELONE PRES ABCX MUCARELA,114,KG,0,39.9,19022000
115,CANELONE 4Q NOZES,115,KG,0,39.9,19022000
116,CAN BRIE DAMASCO RICOTA,116,KG,0,39.9,19022000
117,CANELONE C CHEESE PEITO DE PERU,117,KG,0,39.9,19022000
118,CANELONE CREAM CHEESE,118,KG,0,39.9,19022000
119,CANELONE 4Q NOZ UVAS PASSAS,119,KG,0,39.9,19022000
120,CANELONE ABOBORA,120,KG,0,31.9,19022000
149,MASSA ESPECIAL CONGELADA PROMOCAO,149,KG,0,33.9,
150,MASSA RECHEIO SIMPLES COM MOLHO,150,KG,0,29.9,19022000
151,MASSA RECHEIO ESPECIAL COM MOLHO,151,KG,0,33.9,19022000
152,PANQUECA COM MOLHO,152,KG,0,32.9,19022000
153,PELMENI CARNE TOMATE CONFIT.,153,UN,0,29.9,19022000
154,PELMENI QUEIJO TOMATE CONFIT,154,UN,0,26.9,
201,LASANHA PRESUNTO E MUCARELA,201,KG,0,31.9,19022000
202,LASANHA QUATRO QUEIJOS,202,KG,0,31.9,19022000
203,LASANHA FRANGO MUCARELA REQ,203,KG,0,31.9,19022000
204,LASANHA ESCAROLA TOMATE SECO,204,KG,0,31.9,19022000
205,LASANHA ESPINAFRE,205,KG,0,31.9,19022000
206,LASANHA BOLONHESA,206,KG,0,31.9,19022000
207,LASANHA ABOBORA CARNE SECA,207,KG,0,32.9,19022000
208,LASANHA BACALHAU,208,KG,0,42.9,19022000
209,LASANHA BOLONHESA COMPLETA,209,KG,0,31.9,19022000
250,CALDO DE MANDIOCA,250,KG,0,0,
300,RONDELE RIC ESPINAFRE,300,KG,0,31.9,19022000
301,RONDELE PRESUNTO E MUCARELA,301,KG,0,31.9,19022000
302,RONDELE QUATRO QUEIJOS,302,KG,0,31.9,19022000
303,RONDELE FRANGO MUCARELA REQ,303,KG,0,31.9,19022000
304,RONDELE 4Q TOMATE SECO,304,KG,0,31.9,19022000
305,RONDELE 4Q ESPINAFRE,305,KG,0,31.9,19022000
306,RONDELE 4Q AZEIT PRETA,306,KG,0,31.9,19022000
307,RONDELE PIZZA,307,KG,0,31.9,19022000
308,RONDELE RICOTA,308,KG,0,31.9,19022000
309,RONDELE RIC NOZ UVAS PASSAS,309,KG,0,39.9,19022000
310,RONDELE RIC TOMATE SECO,310,KG,0,31.9,19022000
311,RONDELE RIC NOZES,311,KG,0,39.9,19022000
313,RONDELE RIC AZEIT PRETA,313,KG,0,31.9,19022000
